,week_infected,week_recovered,week_deaths,per_of_recovered,per_of_deaths,per_confirmed_from_total,curr_week,week,month,year,isolation,isolation_index
0,0.3790083618589605,0.01574177252651536,0.0007825088028653561,0.03538890645363336,8.99769115484474e-05,0.03538890645363336,2020-04-13,16,4,2020,True,2.86
1,9.080858604792438,0.5236169227796391,0.02602850795322965,0.6990082767678955,0.0020669355431436973,0.6990082767678955,2020-04-20,17,4,2020,True,2.86
2,178.73992250214843,10.845516415437443,0.5391204867435067,12.798321350073943,0.04018149357538114,12.798321350073943,2020-04-27,18,4,2020,True,2.86
3,2068.6204988163536,161.55057812289115,8.030528282391161,84.27811981460592,0.42902967857358754,84.27811981460592,2020-05-04,19,5,2020,True,2.86
4,7362.647274586129,976.4513244622666,48.538482923333085,120.31667723630032,1.4172355536608463,120.31667723630032,2020-05-11,20,5,2020,True,2.86
5,12888.572273475369,2808.1206316532484,139.5890526352885,100.31528520669086,2.4107576841870975,100.31528520669086,2020-05-18,21,5,2020,True,2.86
6,17331.64008711467,5536.025197797552,275.19063960962654,78.45804405682254,3.2056824507999075,78.45804405682254,2020-05-25,22,5,2020,True,2.86
7,20777.827967772253,8969.21664538056,445.85137842608617,60.158725621009644,3.8213791141971236,60.158725621009644,2020-06-01,23,6,2020,True,2.86
8,23397.125550140587,12944.283714455665,643.4482480474779,45.07749060528392,4.2885916636528885,45.07749060528392,2020-06-08,24,6,2020,True,2.86
9,25335.948777630183,17326.358129218428,861.2770725071828,32.68874780850586,4.633640752477809,32.68874780850586,2020-06-15,25,6,2020,False,1.0900000000000016
10,26716.449033983663,22004.61551794356,1093.828875843251,22.54186973266451,4.878476814221727,22.54186973266451,2020-06-22,26,6,2020,False,1.0900000000000016
11,27640.292702303897,26888.26020219512,1336.590289721932,14.260026111576215,5.041367960520087,14.260026111576215,2020-06-29,27,6,2020,False,1.0900000000000016
12,28192.032599486854,31903.15998156279,1585.8762717314441,7.528613435164581,5.137506532075934,7.528613435164581,2020-07-06,28,7,2020,False,1.0900000000000016
13,28441.935807220274,36989.036269311226,1838.6904296506914,2.085055395071127,5.1795170556367305,2.085055395071127,2020-07-13,29,7,2020,False,1.0900000000000016
14,28448.346955166515,42097.11869020931,2092.608433698953,2.2897844074398432,5.1778824295330095,2.2897844074398432,2020-07-20,30,7,2020,False,1.0900000000000016
15,28259.66228073564,47188.188193492126,2345.6807415097696,5.778677229606274,5.141294908868401,5.778677229606274,2020-07-27,31,7,2020,False,1.0900000000000016
16,27915.979998759234,52230.94316141858,2596.351378914092,8.534129826395851,5.07695860390479,8.534129826395851,2020-08-03,32,8,2020,False,1.0900000000000016
17,27450.476779343946,57200.63870371422,2843.3903005384977,10.68326436469202,4.99083143318128,10.68326436469202,2020-08-10,33,8,2020,False,1.0900000000000016
18,26890.558933201643,62077.95060317904,3085.836917602911,12.332073275502808,4.887835934845408,12.332073275502808,2020-08-17,34,8,2020,False,1.0900000000000016
19,26258.823951707414,66848.02828201759,3322.9530217617967,13.568846224522142,4.772029039419757,13.568846224522142,2020-08-24,35,8,2020,False,1.0900000000000016
20,25573.8633012504,71499.70591155547,3554.183570105325,14.467133824340635,4.646748761305389,14.467133824340635,2020-08-31,36,8,2020,False,1.0900000000000016
21,24850.931982448987,76024.84616013741,3779.124063480598,15.088148554233742,4.51473299815221,15.088148554233742,2020-09-07,37,9,2020,False,1.0900000000000016
22,24102.50963032085,80417.79189370801,3997.4932910398625,15.482822203697522,4.378221248371525,15.482822203697522,2020-09-14,38,9,2020,False,1.0900000000000016
23,23338.766341991235,84674.91256209751,4209.110781526636,15.693495100411187,4.239038054893318,15.693495100411187,2020-09-21,39,9,2020,False,1.0900000000000016
24,22567.95347389661,88794.22514915837,4413.877961061196,15.755335851263355,4.098663082932782,15.755335851263355,2020-09-28,40,9,2020,False,1.0900000000000016
25,21796.72905334985,92775.080007148,4611.7625362613035,15.697532129197432,3.9582898265948643,15.697532129197432,2020-10-05,41,10,2020,False,1.0900000000000016
26,21030.42935669337,96617.9000597107,4802.785530266126,15.544279143427891,3.81887428467834,15.544279143427891,2020-10-12,42,10,2020,False,1.0900000000000016
27,20273.295498471878,100323.96454439861,4987.010532779037,15.315610195164156,3.6811758032685833,15.315610195164156,2020-10-19,43,10,2020,False,1.0900000000000016
